ProjectID,url,isScientificAppSoftware,mentionsPaperOrFunding,isResearchSoftware,isScienceSupportSoftware,keywords,short_description,full_answer,NumForks,NumStars,NumFiles,NumAuthors,NumCoreAuthors,AuthorsGender,NumCommits,NumBlobs,CodeLanguages,NumActiveMon,LatestCommitDate,EarliestCommitDate,CommunitySize,blobId,commitID
pytorch_pytorch,https://github.com/pytorch/pytorch,Yes,No,No,Yes," [""collective communications"", ""machine learning"", ""barrier"", ""broadcast"", ""allreduce""]"," ""Gloo is a collective communications library. It comes with a number of collective algorithms useful for machine learning applications. These include a barrier, broadcast, and allreduce."" ","Yes | No | No | Yes | ""Gloo is a collective communications library. It comes with a number of collective algorithms useful for machine learning applications. These include a barrier, broadcast, and allreduce."" | [""collective communications"", ""machine learning"", ""barrier"", ""broadcast"", ""allreduce""]",15704.0,56634.0,203601,5601,341,"{'male': 3293, 'female': 631}",527376,5319684,"{'Go': 7, 'Lisp': 6, 'C/C++': 30026, 'TypeScript': 22, 'JavaScript': 5899, 'Ruby': 2908, 'other': 131656, 'Basic': 763, 'Java': 340, 'Rust': 10344, 'Perl': 6, 'Sql': 1, 'Python': 21103, 'Fortran': 333, 'PHP': 124, 'Swift': 5, 'Lua': 58}",137,1684108372,1327499720,14279.0,3d64d0a51492a4de92d82f9e80403759def3f9b0,4946dae79f10434298f5affafc0195d6be140ad7
tango-controls_cppTango,https://github.com/tango-controls/cppTango,Yes,No,No,Yes," [""distributed control system"", ""object-oriented"", ""device communication""]"," ""TANGO is an object-oriented distributed control system. In TANGO all objects are representations of devices, which can be on the same computer or distributed over a network. Communication between devices can be synchronous, asynchronous or event driven."" ","Yes | No | No | Yes | ""TANGO is an object-oriented distributed control system. In TANGO all objects are representations of devices, which can be on the same computer or distributed over a network. Communication between devices can be synchronous, asynchronous or event driven."" | [""distributed control system"", ""object-oriented"", ""device communication""]",146.0,115.0,282185,173,15,"{'male': 75, 'female': 12}",436077,59231,"{'Sql': 92, 'C/C++': 25526, 'JavaScript': 120, 'Java': 175323, 'Perl': 67, 'other': 80342, 'R': 171, 'Rust': 69, 'Python': 474, 'Ruby': 1}",278,1675423478,944469646,208.0,88f5f0151fd37669ba5ed622287e0d8fba1c5a2f,fc7897bb16d897335347584861116e2d4b0a4f44
trilinos_Trilinos,https://github.com/trilinos/Trilinos,Yes,No,No,Yes," [""algorithms"", ""engineering"", ""scientific problems"", ""object-oriented software"", ""packages""]."," ""The Trilinos Project is an effort to develop algorithms and enabling technologies within an object-oriented software framework for the solution of large-scale, complex multi-physics engineering and scientific problems. A unique design feature of Trilinos is its focus on packages."" ","Yes | No | No | Yes | ""The Trilinos Project is an effort to develop algorithms and enabling technologies within an object-oriented software framework for the solution of large-scale, complex multi-physics engineering and scientific problems. A unique design feature of Trilinos is its focus on packages."" | [""algorithms"", ""engineering"", ""scientific problems"", ""object-oriented software"", ""packages""].",395.0,606.0,163398,681,70,"{'female': 52, 'male': 487}",348208,584173,"{'Java': 176, 'JavaScript': 50, 'other': 70817, 'Fortran': 3476, 'fml': 1, 'PHP': 10, 'C/C++': 86243, 'Perl': 339, 'Lisp': 12, 'Lua': 5, 'Python': 2125, 'Rust': 144}",300,1683304054,887410810,396.0,ac233a66afcfd1fcbd52f6c44a0bd54a9098f2d8,c994fbc66e33157dc63eca6b59af186aa637abb0
apache_beam,https://github.com/apache/beam,Yes,No,Yes,Yes," [""data-parallel processing"", ""pipelines"", ""distributed processing"", ""SDKs""]"," ""Apache Beam is a unified model and set of language-specific SDKs for defining and executing data-parallel processing pipelines on distributed processing backends."" ","Yes | No | Yes | Yes | ""Apache Beam is a unified model and set of language-specific SDKs for defining and executing data-parallel processing pipelines on distributed processing backends."" | [""data-parallel processing"", ""pipelines"", ""distributed processing"", ""SDKs""]",3470.0,5439.0,428219,1961,200,"{'male': 1257, 'female': 161}",215629,624431,"{'TypeScript': 400, 'Basic': 3, 'Scala': 34, 'Dart': 2129, 'Kotlin': 145, 'other': 380451, 'fml': 5, 'Java': 31108, 'JavaScript': 6825, 'C/C++': 21, 'Ruby': 8, 'Go': 3437, 'Rust': 10, 'Sql': 116, 'Python': 3527}",103,1680786645,1405043988,3206.0,a039e5dec45095b69f089ec35676684f783012ad,daa7fb4280d53701abd9a93fa5d230d64594ec20
root-project_root,https://github.com/root-project/root,Yes,Yes,Yes,No," [""Monte Carlo particle transport"", ""solid geometry"", ""continuous-energy transport"", ""HDF5 format""]"," ""The OpenMC project aims to provide a fully-featured Monte Carlo particle transport code based on modern methods. It is a constructive solid geometry, continuous-energy transport code that uses HDF5 format cross sections."" ","Yes | Yes | Yes | No | ""The OpenMC project aims to provide a fully-featured Monte Carlo particle transport code based on modern methods. It is a constructive solid geometry, continuous-energy transport code that uses HDF5 format cross sections."" | [""Monte Carlo particle transport"", ""solid geometry"", ""continuous-energy transport"", ""HDF5 format""]",1280.0,1886.0,163711,857,52,"{'female': 76, 'male': 566}",185781,459271,"{'Python': 4602, 'Rust': 1330, 'fml': 301, 'Perl': 93, 'Java': 49, 'C/C++': 82589, 'Lisp': 22, 'PHP': 1, 'JavaScript': 723, 'Sql': 8, 'other': 72110, 'Ruby': 74, 'R': 29, 'Go': 43, 'Fortran': 1737}",277,1683530764,958496458,1300.0,561bf4e1a6729615a506f7f8e36afc36af41ef40,1c795163570a3d304458200f0c5495d4c2e31766
commaai_openpilot,https://github.com/commaai/openpilot,Yes,No,No,No," [""driver assistance system"", ""automated driving"", ""car safety""]"," ""openpilot is an open source driver assistance system that performs functions like Adaptive Cruise Control, Automated Lane Centering, Forward Collision Warning, and Lane Departure Warning."" ","Yes | No | No | No | ""openpilot is an open source driver assistance system that performs functions like Adaptive Cruise Control, Automated Lane Centering, Forward Collision Warning, and Lane Departure Warning."" | [""driver assistance system"", ""automated driving"", ""car safety""]",6398.0,24635.0,68170,1930,142,"{'female': 68, 'male': 784}",185765,319369,"{'Python': 14375, 'other': 24524, 'Lisp': 1, 'C/C++': 22146, 'Basic': 4, 'JavaScript': 286, 'Kotlin': 22, 'Perl': 5915, 'Go': 686, 'Rust': 37, 'Java': 138, 'TypeScript': 18, 'Fortran': 18}",80,1684196644,1297861200,6336.0,3223cda2f3697c3432c98ace57869cc8edd3a288,119e18c04e0d060b3c785d11ece97fa70fb89451
gem_oq-engine,https://github.com/gem/oq-engine,Yes,Yes,No,No," [""seismic hazard"", ""seismic risk"", ""earthquakes""]"," ""The OpenQuake Engine is an open source application that allows users to compute seismic hazard and seismic risk of earthquakes on a global scale."" ","Yes | Yes | No | No | ""The OpenQuake Engine is an open source application that allows users to compute seismic hazard and seismic risk of earthquakes on a global scale."" | [""seismic hazard"", ""seismic risk"", ""earthquakes""]",296.0,259.0,30116,163,5,"{'male': 96, 'female': 18}",166630,149351,"{'Sql': 385, 'Python': 4539, 'PHP': 1, 'JavaScript': 795, 'C/C++': 9, 'Java': 3045, 'Rust': 738, 'other': 20505, 'Ruby': 99}",140,1645087966,1279748505,307.0,5c701f81d88bb70cbda93f526d4e4d8d6b160c79,1589c12ddaa1bcc7570ec40b9e8a01aa84fde01b
mantidproject_mantid,https://github.com/mantidproject/mantid,Yes,No,No,Yes," [""high-performance computing"", ""scientific data"", ""Neutron scattering"", ""Muon scattering"", ""visualization""]"," ""The Mantid project provides a framework that supports high-performance computing and visualization of scientific data. Mantid has been created to manipulate and analyze Neutron and Muon scattering data, but could be applied to many other techniques."" ","Yes | No | No | Yes | ""The Mantid project provides a framework that supports high-performance computing and visualization of scientific data. Mantid has been created to manipulate and analyze Neutron and Muon scattering data, but could be applied to many other techniques."" | [""high-performance computing"", ""scientific data"", ""Neutron scattering"", ""Muon scattering"", ""visualization""]",108.0,148.0,69849,236,66,"{'female': 33, 'male': 161}",155183,474647,"{'Perl': 16, 'TypeScript': 6, 'other': 20138, 'JavaScript': 14, 'Java': 12, 'Python': 11968, 'C/C++': 32970, 'Ruby': 2, 'Rust': 4723}",178,1653002591,1175694466,96.0,8bddd367d44179a697257821e82dab12875627b0,99f2c56ce9e4a9ca7ce559c49216dd61ce2b80e8
project-millipede_jclouds,https://github.com/project-millipede/jclouds,Yes,No,No,Yes," [""OSGi"", ""framework"", ""service"", ""bundle""]"," ""Apache Felix is a collection of semi-related OSGi sub-projects that implement the OSGi Core and Compendium specifications."" ","Yes | No | No | Yes | ""Apache Felix is a collection of semi-related OSGi sub-projects that implement the OSGi Core and Compendium specifications."" | [""OSGi"", ""framework"", ""service"", ""bundle""]",2195.0,1877.0,244696,1070,46,"{'female': 72, 'male': 803}",146234,372352,"{'Ruby': 6, 'Perl': 4, 'Scala': 89, 'Java': 156463, 'other': 79902, 'Clojure': 30, 'JavaScript': 8194, 'Lisp': 1, 'C/C++': 7}",214,1682371329,1121769713,2345.0,bc69ae4388b34d53c2ce1bd92b7dbbc5265b9ae2,bb1183d4ba9880c9370be1dca74b3be9a7cc2cb9
Unidata_awips2,https://github.com/Unidata/awips2,Yes,No,No,Yes," [""meteorology"", ""weather data"", ""data analysis"", ""data visualization""]"," ""The Advanced Weather Interactive Processing System (AWIPS) is a meteorological software package used for decoding, displaying, and analyzing data. It is released as open source software, free to download and use by anyone."" ","Yes | No | No | Yes | ""The Advanced Weather Interactive Processing System (AWIPS) is a meteorological software package used for decoding, displaying, and analyzing data. It is released as open source software, free to download and use by anyone."" | [""meteorology"", ""weather data"", ""data analysis"", ""data visualization""]",45.0,99.0,111135,112,19,"{'male': 80, 'female': 17}",144713,154096,"{'Fortran': 4853, 'other': 59888, 'C/C++': 9182, 'JavaScript': 1748, 'Ruby': 65, 'Python': 7732, 'Java': 26285, 'TypeScript': 1, 'Rust': 626, 'Perl': 79, 'Sql': 675, 'Lisp': 1}",116,1655837319,1325861705,55.0,65467c179ef78cc86537bb327c938b5e31a205ad,c9ed28a47f755f7d9a0b016cf4d4c494e3bf942b
